Transcript,Label,Binary Label
 you are and what you're doing.,NoStutteredWords,No-Stutter
" Yeah, absolutely right pal.",NoStutteredWords,No-Stutter
 sharing a little bit about you.,NoStutteredWords,No-Stutter
 Thank you.,SoundRep,Stutter
,Block,Stutter
 them for having me on your show.,NoStutteredWords,No-Stutter
 She asks him.,NoStutteredWords,No-Stutter
,NoStutteredWords,No-Stutter
 We don't have any,Interjection,Stutter
" Woman, Sutra and Art.",Block,Stutter
 they in your,DifficultToUnderstand,Stutter
 Are there any women that worked there?,Prolongation,Stutter
 Here we are.,NoStutteredWords,No-Stutter
" Yeah, there are",DifficultToUnderstand,Stutter
 jeux,NoStutteredWords,No-Stutter
 Y sword,Prolongation,Stutter
 Thank you.,NoStutteredWords,No-Stutter
 But for VEK!,SoundRep,Stutter
" Okay, that's all.",Interjection,Stutter
 often does the group meet.,Block,Stutter
 or every Thursday,Interjection,Stutter
 initially.,Block,Stutter
 We all start off.,Prolongation,Stutter
 Beneaster to breath.,Interjection,Stutter
 If he doesn't then that's his own way.,DifficultToUnderstand,Stutter
" And, and...",WordRep,Stutter
 Where did you learn the tech tech?,SoundRep,Stutter
" Please, Dr. Rose.",Prolongation,Stutter
 to move our enemy leader. This does add a bit into primation. photographs for them. Thank you. Goodbye.,Interjection,Stutter
" Well at here, and",Interjection,Stutter
" Okay, so",Interjection,Stutter
 Maybe?,SoundRep,Stutter
 But not cause of death sometimes.,NoStutteredWords,No-Stutter
" Joe'll Kind of, made!",DifficultToUnderstand,Stutter
,Block,Stutter
 I had this habit of uh,Interjection,Stutter
 Obrigadas for this advice. I'll be answering us more.,DifficultToUnderstand,Stutter
 So,WordRep,Stutter
 I don't know all of my,Interjection,Stutter
 29 years old,NoStutteredWords,No-Stutter
 And I'm a...,Interjection,Stutter
 and any target.,WordRep,Stutter
 And it's taking me. It's harder.,NoStutteredWords,No-Stutter
 personnes want to retire,Interjection,Stutter
 First class and engineering above.,NoStutteredWords,No-Stutter
 Go up and I will,NoStutteredWords,No-Stutter
 Preyumai.,DifficultToUnderstand,Stutter
 let kip them and,DifficultToUnderstand,Stutter
 Next interview yourself.,NoStutteredWords,No-Stutter
" Plus, I'm Crashly Ride.",NoStutteredWords,No-Stutter
 The thing really got,SoundRep,Stutter
 Vap!巨 M Full self!,SoundRep,Stutter
 So anyway...,Prolongation,Stutter
" 다 해놔?, 어",NoStutteredWords,No-Stutter
 for me because of that,SoundRep,Stutter
 call call,DifficultToUnderstand,Stutter
 That would give me temple,DifficultToUnderstand,Stutter
 You're thinking on a high?,Prolongation,Stutter
" But, by the way,",NoStutteredWords,No-Stutter
 Keep people that stutter.,Block,Stutter
,Block,Stutter
 determination.,SoundRep,Stutter
" For me to get out of that habit,",Block,Stutter
 great but,DifficultToUnderstand,Stutter
" Um, I...",Interjection,Stutter
 I already told you that I was,NoStutteredWords,No-Stutter
 Этоёт sahیتے ہیں,Interjection,Stutter
 there,Block,Stutter
" I'm going to use more paper in the middle of the eyelid. That's what I'm being using. So I'm using. So Plan B does it in the same way.. Now, I'm trying to apply a yellow in color in the back because I'm not thinking of apple slices, that's just how we do it. The green in the middle, our shade correct. I gave the green black yellow off. Yes, the black gray is a yellow compleamp. Yeah, right, right. This is called black galbone, which I actually love this. That I wearing white ISSE",NoStutteredWords,No-Stutter
 and even in my age.,Interjection,Stutter
 So...,NoStutteredWords,No-Stutter
 Coming back?,NoStutteredWords,No-Stutter
 to the point speed.,NoStutteredWords,No-Stutter
" a lot. Oh, and",NoStutteredWords,No-Stutter
 There is a national competition.,NoStutteredWords,No-Stutter
 Yeah.,Interjection,Stutter
 India.,DifficultToUnderstand,Stutter
 But you also have a,Interjection,Stutter
 poverty financially that be fast for thebertag government.,NoStutteredWords,No-Stutter
 I attended.,Block,Stutter
 View of their workshop.,DifficultToUnderstand,Stutter
" Yeah, and go!",Interjection,Stutter
" And at the second one, I...",Prolongation,Stutter
 time cause I never,NoStutteredWords,No-Stutter
 Found a new school,NoStutteredWords,No-Stutter
,WordRep,Stutter
 And my real...,NoStutteredWords,No-Stutter
 About my love.,Interjection,Stutter
 말,NoStutteredWords,No-Stutter
 are coming to workshop.,NoStutteredWords,No-Stutter
 Where are I?,DifficultToUnderstand,Stutter
" kind of thing, I am",Block,Stutter
 We went out and we went out and we went out.,Block,Stutter
 I'll put there and,Interjection,Stutter
 It was a magnificent experience.,Block,Stutter
" experience. I mean, what?",Prolongation,Stutter
 What? What was it?,WordRep,Stutter
 be stuttering purposely.,NoStutteredWords,No-Stutter
 To be,SoundRep,Stutter
 workshops.,NoStutteredWords,No-Stutter
 like it and,NoStutteredWords,No-Stutter
" They will be called, we'll keep talking about these things? Our minds will be touched. Well, it does have the samerightness as a human. airplane to be called. Then when we say that falsehood is more suspecting than being stip skinny kids. And all of you would just be friends when two are sorry.",SoundRep,Stutter
 conclude SUBSCRIBE tá Kannم,Block,Stutter
 Well first with you booty,Block,Stutter
 What helps you the most?,NoStutteredWords,No-Stutter
 Oh,Interjection,Stutter
" Well, or, if I...",Interjection,Stutter
 comfortable if I,NoStutteredWords,No-Stutter
 doda,SoundRep,Stutter
"管aczegon,秉 rental Lets ask your questions. Kind of. And you also heard local speech you are asking for either.. Can I get tips on your new book? I tartly hope that all insurance",DifficultToUnderstand,Stutter
 Thank you.,NoStutteredWords,No-Stutter
 I hope it helped me out.,NoStutteredWords,No-Stutter
正在面,Prolongation,Stutter
 therapy.,Block,Stutter
 لم ي residار,SoundRep,Stutter
 Exactly.,Block,Stutter
" Well, uh, coastal,",Prolongation,Stutter
 breathing is,SoundRep,Stutter
 When you do your,NoStutteredWords,No-Stutter
,Block,Stutter
 doesn't discriminate,NoStutteredWords,No-Stutter
 going to breathe,SoundRep,Stutter
 double,Interjection,Stutter
 Uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh uh,WordRep,Stutter
 Thank you.,DifficultToUnderstand,Stutter
 with your tottering.,SoundRep,Stutter
 I have actually,Interjection,Stutter
" Uh, but hey.",Interjection,Stutter
 Followed during my,Interjection,Stutter
 Ploksh ein,DifficultToUnderstand,Stutter
 the poster by follow,SoundRep,Stutter
 words uh,Interjection,Stutter
" sound of the Lord, if I am",NoStutteredWords,No-Stutter
 I'll be blocking there.,NoStutteredWords,No-Stutter
 And.. updating,Prolongation,Stutter
 Talking from a chat.,Prolongation,Stutter
" And after that, I...",NoStutteredWords,No-Stutter
"艾Chнибудь,Jia Long",NoStutteredWords,No-Stutter
" Good, go, don't. Freedom while feeding.",NoStutteredWords,No-Stutter
 I was from army. People,NoStutteredWords,No-Stutter
 vadest worse,NoStutteredWords,No-Stutter
" And, uh, upload.",Interjection,Stutter
 I exhale the,WordRep,Stutter
,DifficultToUnderstand,Stutter
 the techniques all of the time.,Prolongation,Stutter
 Absolutely.,NoStutteredWords,No-Stutter
 русites.,WordRep,Stutter
" Trevor, too ... Would you like this?",DifficultToUnderstand,Stutter
 As well as copyright��.,NoStutteredWords,No-Stutter
 Uh-huh.,Interjection,Stutter
 in India that don't stutter.,NoStutteredWords,No-Stutter
" Well, uh...",Interjection,Stutter
 Okay.,Interjection,Stutter
 You have all of it.,DifficultToUnderstand,Stutter
" Love, straight on your.",DifficultToUnderstand,Stutter
" Please, I call them.",WordRep,Stutter
呼 educate the呼,Prolongation,Stutter
 Thanks.,Interjection,Stutter
,DifficultToUnderstand,Stutter
 right now in my list.,NoStutteredWords,No-Stutter
 We have almost,SoundRep,Stutter
 have just started.,NoStutteredWords,No-Stutter
 And,Prolongation,Stutter
 health or,Interjection,Stutter
 even if I,NoStutteredWords,No-Stutter
 educate people,Interjection,Stutter
 Do that and act.,Prolongation,Stutter
 don't get it unless we tell them about it.,NoStutteredWords,No-Stutter
 Undang dan iya juga,SoundRep,Stutter
 not there!,SoundRep,Stutter
 What could,WordRep,Stutter
 problem you will never,Block,Stutter
 Reloight for human brain was,Block,Stutter
 It feels like if,DifficultToUnderstand,Stutter
 proud of the fact that you're so involved.,NoStutteredWords,No-Stutter
" Yeah, I am.",WordRep,Stutter
 is a lot of ham.,NoStutteredWords,No-Stutter
 Watch children with better as well.,NoStutteredWords,No-Stutter
" for being people, oh my god.",NoStutteredWords,No-Stutter
 drum character trainer that I bought before.,Prolongation,Stutter
 and just kind of face your fears.,NoStutteredWords,No-Stutter
 I've been involved in this group.,WordRep,Stutter
 and it again that was a long journey of,SoundRep,Stutter
" Give them up for our speeds, no second speeds.",NoStutteredWords,No-Stutter
 face fear right in front of me.,NoStutteredWords,No-Stutter
 and this organization,Prolongation,Stutter
 and this impact on your life.,Prolongation,Stutter
" Yeah, yeah, yeah pretty much.",WordRep,Stutter
" What a car, a good friend, hobby of mine.",NoStutteredWords,No-Stutter
" Hmm, you know, that's, uh,",Interjection,Stutter
" and you must be high, whatever.",NoStutteredWords,No-Stutter
 if not it not a real social pick-up.,WordRep,Stutter
 Balance in your life.,NoStutteredWords,No-Stutter
" Yeah, I think I do.",WordRep,Stutter
" You know, very, very happy.",Interjection,Stutter
" So, you know, it create tells me with my Making of the",Interjection,Stutter
 but always try to be in a good mood.,Block,Stutter
" and believe me, I've had a good life.",NoStutteredWords,No-Stutter
 with what I have.,Block,Stutter
 What would you say is the most important thing?,NoStutteredWords,No-Stutter
" Well, you know, good to really event our work.",Block,Stutter
" I shouts snap snap snap, yeah.",NoStutteredWords,No-Stutter
 The kajan college,SoundRep,Stutter
 I don't know.,SoundRep,Stutter
 It's okay to change what you want to eat.,NoStutteredWords,No-Stutter
 It's okay to not answer the phone.,Block,Stutter
 Yeah.,Interjection,Stutter
" Well, I'm so glad that you are",Interjection,Stutter
 you sharing and being so honest and,Prolongation,Stutter
 Thank. Thank.,WordRep,Stutter
 Thank you.,WordRep,Stutter
 The stored directors.,NoStutteredWords,No-Stutter
 So working in the Y,WordRep,Stutter
" That's what's going on, that's what's going on. That's what's going on.",WordRep,Stutter
 But hopefully last night it's all over where it's finished.,Block,Stutter
 Act it at all.,WordRep,Stutter
 there you can log out that motion.,Block,Stutter
" you know, in the world sometimes with our speech.",Interjection,Stutter
 Thank you.,SoundRep,Stutter
 Any particular reason why?,NoStutteredWords,No-Stutter
 Okay. Okay.,DifficultToUnderstand,Stutter
 and,Block,Stutter
 you know get into your job.,Interjection,Stutter
 I think over the years.,WordRep,Stutter
 I'm confident I don't have to الت하게 to see it.,NoStutteredWords,No-Stutter
 How long have you started?,NoStutteredWords,No-Stutter
 you know I was kind of different I think I was going to,WordRep,Stutter
 thing they're year in high school.,Block,Stutter
 Then looking back in a,Interjection,Stutter
 agreeing to share with us.,NoStutteredWords,No-Stutter
" So to get us started,",NoStutteredWords,No-Stutter
 might talk like this or what was going on.,NoStutteredWords,No-Stutter
 And then I guess I'll...,WordRep,Stutter
 it is even more of a stutter.,NoStutteredWords,No-Stutter
,DifficultToUnderstand,Stutter
" Boss, first time you're done it.",DifficultToUnderstand,Stutter
 Did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did did,WordRep,Stutter
 There therapy at,Block,Stutter
 Any time?,NoStutteredWords,No-Stutter
 Yeah.,SoundRep,Stutter
 That was a nice pulse.,NoStutteredWords,No-Stutter
 And I believe I went like,Interjection,Stutter
 Thank you for your time.,SoundRep,Stutter
 just kind of to come a heartbeat.,Block,Stutter
 what he need to live in to myself.,Block,Stutter
 And then Andy guard called me to know,DifficultToUnderstand,Stutter
 self-alarm the unrecorded.,Block,Stutter
 But it was good therapy.,NoStutteredWords,No-Stutter
 maybe you'll have a lot of an all this that,Block,Stutter
 Thank you so much for that your facto World myself spent.,WordRep,Stutter
 What you do to keep yourself busy?,NoStutteredWords,No-Stutter
 we will give you again the previous,Interjection,Stutter
 He free parsley with pear,NoStutteredWords,No-Stutter
" You know, sometimes we would go walking around the building.",WordRep,Stutter
 so much believe in therapy.,Block,Stutter
" It's working on it, working on it.",WordRep,Stutter
 five minutes. I believe it therapy.,NoStutteredWords,No-Stutter
 and alive is,Block,Stutter
 to mid-twenties.,WordRep,Stutter
 that he don't kind of clicked in here.,NoStutteredWords,No-Stutter
 because I've talked to a lot of...,NoStutteredWords,No-Stutter
 people and that just doesn't,NoStutteredWords,No-Stutter
 you know from a lot of young.,Interjection,Stutter
" people, you know,",Interjection,Stutter
 Studying did did,WordRep,Stutter
 Did you ever feel that? Did you ever feel that?,NoStutteredWords,No-Stutter
 Did it ever limit you?,NoStutteredWords,No-Stutter
 you don't get in my 20s with the work,WordRep,Stutter
" good friends, good family support.",NoStutteredWords,No-Stutter
 you know everything around me was,Interjection,Stutter
 I'll actually just with me.,WordRep,Stutter
 Even though you were,NoStutteredWords,No-Stutter
 Be your self.,SoundRep,Stutter
" Okay, so along.",NoStutteredWords,No-Stutter
 again in my eight twenties and then,NoStutteredWords,No-Stutter
" We are going to hit wall, did I do that?",DifficultToUnderstand,Stutter
 just 5% the next year. I just,NoStutteredWords,No-Stutter
 Jungle,WordRep,Stutter
 So I've had a long journey in up.,Interjection,Stutter
 when I say I had bottom.,NoStutteredWords,No-Stutter
 it was a great drawing but the screen is made from the air,SoundRep,Stutter
 this person that person for reasons.,NoStutteredWords,No-Stutter
 And you got times I would.,Interjection,Stutter
 that wanting to speak or not wanting to.,Prolongation,Stutter
" you know, always, always say what I wanted.",WordRep,Stutter
 but not always say what I wanted to.,NoStutteredWords,No-Stutter
內hand su monitесri,NoStutteredWords,No-Stutter
 even if it is a stutter,WordRep,Stutter
" Mmm, yeah.",Interjection,Stutter
 and interfere.,SoundRep,Stutter
" We see, you know, always funny.",SoundRep,Stutter
 Then I remember when I was acting girls out.,NoStutteredWords,No-Stutter
 you know I would say okay.,Interjection,Stutter
" So, we'll move on by my introduction, we'll move on by my name.",SoundRep,Stutter
 but the guy in a nice guy and,Block,Stutter
 Could be a good friend of somebody.,Interjection,Stutter
 I think that's one thing that some...,SoundRep,Stutter
 some of us can,WordRep,Stutter
 had to make it easier.,NoStutteredWords,No-Stutter
 If you add a grid and I like that one.,SoundRep,Stutter
" I was covert, but I think I was",NoStutteredWords,No-Stutter
 I guess I've been around on this.,WordRep,Stutter
" But again, I was not.",WordRep,Stutter
 Software τα,Block,Stutter
 Did you avoid other?,NoStutteredWords,No-Stutter
 situations because you didn't,NoStutteredWords,No-Stutter
 found out as a person who's stuttered.,NoStutteredWords,No-Stutter
 Thank you.,WordRep,Stutter
" that was going to really, really stutter on.",WordRep,Stutter
,Block,Stutter
 using the telephone with Swiss Taf.,SoundRep,Stutter
,NoStutteredWords,No-Stutter
" Yeah, again, I knew we were heading.",Interjection,Stutter
 wine for the grocery stores.,NoStutteredWords,No-Stutter
 Hmm. Dude.,NoStutteredWords,No-Stutter
 But those were did their own,Interjection,Stutter
 But I think I'm making me think about it.,WordRep,Stutter
 it when it this should adapt.,Prolongation,Stutter
 and you know a lot of times I would,Interjection,Stutter
 I wish where I got it kind of relaxed myself.,WordRep,Stutter
 and maybe we should.,NoStutteredWords,No-Stutter
" It's all going to work out, I feel.",Interjection,Stutter
 you,Interjection,Stutter
 Studying community.,Block,Stutter
" Yeah, yeah, what I'm thinking is the second there.",WordRep,Stutter
 And you should go and check them out.,SoundRep,Stutter
 and so we're not going to,Block,Stutter
 and then it's going to show support for each other.,NoStutteredWords,No-Stutter
 I was kind of curious on that.,WordRep,Stutter
 bring up a topic that you talk about.,NoStutteredWords,No-Stutter
" Well, what would you say is we go around the room?",NoStutteredWords,No-Stutter
 answer a way back in the night of the night before.,NoStutteredWords,No-Stutter
 And she passed away in November.,NoStutteredWords,No-Stutter
 moment. Thank you. She was moment of my life.,Block,Stutter
" But my mother, I just felt her being",Prolongation,Stutter
 Do you do do that?,SoundRep,Stutter
 Wow.,Interjection,Stutter
 Was that the first time you met other people?,NoStutteredWords,No-Stutter
 people who's better.,Block,Stutter
" Oh wow, this is good one.",WordRep,Stutter
 certainly what are you,WordRep,Stutter
" you know, 45, 65 people.",Interjection,Stutter
 But soon after that.,WordRep,Stutter
病 and the questo situation. Um-,NoStutteredWords,No-Stutter
 How we play our games that I'm buying.,WordRep,Stutter
 It controls that filmage.,SoundRep,Stutter
 Sure does.,Interjection,Stutter
 better. I did the evening of it.,Interjection,Stutter
 n dafür,SoundRep,Stutter
" Yes or no, and we never have to out.",NoStutteredWords,No-Stutter
" How do they say yes or no, when?",NoStutteredWords,No-Stutter
 Lately...,Block,Stutter
 So you agree that there's definitely,NoStutteredWords,No-Stutter
 experience they're stuttering.,NoStutteredWords,No-Stutter
" Yes, yeah, I do. I have very different.",WordRep,Stutter
 grocery stores or do you do that over the phone?,NoStutteredWords,No-Stutter
" No, no, in person would be go.",WordRep,Stutter
" Yeah, so that's",Interjection,Stutter
 8595 to the south.,NoStutteredWords,No-Stutter
" Keep, keep you coming back.",WordRep,Stutter
 I don't know.,Interjection,Stutter
 Beautiful going home!,NoStutteredWords,No-Stutter
" Well, I guess I'm...",Block,Stutter
 getting together with other people.,NoStutteredWords,No-Stutter
 Only peoples hurt her.,SoundRep,Stutter
 through their journey.,WordRep,Stutter
" I, yes, so it sounds like maybe that.",NoStutteredWords,No-Stutter
 experience can like.,Interjection,Stutter
 you know help pave the way,Interjection,Stutter
 it all bottled up inside.,NoStutteredWords,No-Stutter
 I can relate to what,Interjection,Stutter
 It was the first time I had met other...,Block,Stutter
 people who started,Block,Stutter
 year. We get out of it at this point.,NoStutteredWords,No-Stutter
" Yeah, we're, you know, with, with, uh,",WordRep,Stutter
 I kind of go to see.,WordRep,Stutter
 Remember to have glue,Prolongation,Stutter
 that we deal with.,Interjection,Stutter
 And so...,Block,Stutter
 a for and 하고. them. .,NoStutteredWords,No-Stutter
 Why why why we're,WordRep,Stutter
 to our,WordRep,Stutter
 but you know against the war because I was,Prolongation,Stutter
 The nervous shy and timidated whatever,NoStutteredWords,No-Stutter
 National Organization.,SoundRep,Stutter
" I can't feel like I could, you know, maybe",WordRep,Stutter
 I want to be there.,NoStutteredWords,No-Stutter
 you know I want to help out with a word of,Interjection,Stutter
 conference successful.,NoStutteredWords,No-Stutter
" Wow, I love the way that you said that.",NoStutteredWords,No-Stutter
 for you know.,Interjection,Stutter
 people to get so that,NoStutteredWords,No-Stutter
 Mm-hmm. Nope.,NoStutteredWords,No-Stutter
 You said that you,SoundRep,Stutter
 when you've arrived.,NoStutteredWords,No-Stutter
 and,SoundRep,Stutter
 in the past couple of years.,NoStutteredWords,No-Stutter
 yours. No.,Interjection,Stutter
 and stuff to sounds like there's a lot of...,Block,Stutter
"���me out in high school and talk again in , in in",WordRep,Stutter
 podcast series,Block,Stutter
 Parking on this journey.,NoStutteredWords,No-Stutter
" Yeah, that's a hard one.",WordRep,Stutter
 That is a really hard one.,WordRep,Stutter
 because a young people,Interjection,Stutter
 are starting off in their life.,SoundRep,Stutter
 whether it's school or,Interjection,Stutter
 finding groups.,Interjection,Stutter
 And I need to call to it. I have an other institution,Block,Stutter
 who might share your interest.,WordRep,Stutter
 It's like...,WordRep,Stutter
 Love friendship.,NoStutteredWords,No-Stutter
" And when you get that thought,",NoStutteredWords,No-Stutter
 young person to start a role in them.,NoStutteredWords,No-Stutter
" It's very, very hard.",NoStutteredWords,No-Stutter
 Hemidum ps'emsylliv's a betterie.,SoundRep,Stutter
" So, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so, so",WordRep,Stutter
 So it's not,Interjection,Stutter
 what,Interjection,Stutter
,SoundRep,Stutter
" And so, um,",Interjection,Stutter
 the attention. It's not so bad.,NoStutteredWords,No-Stutter
 And died at least...,Interjection,Stutter
 I never had.,NoStutteredWords,No-Stutter
" Well, you know, when I asked you the quick.",Interjection,Stutter
 with what we think.,SoundRep,Stutter
 are the abilities that we have.,WordRep,Stutter
 observing all the things all the cultural.,NoStutteredWords,No-Stutter
 things that I studied.,SoundRep,Stutter
 and film.,WordRep,Stutter
 and so,Prolongation,Stutter
 I just still have to talk about it.,WordRep,Stutter
" and, God, it's 13 years gibi.",WordRep,Stutter
" I wouldn't recommend it, John.",NoStutteredWords,No-Stutter
 Do you recall how that may?,NoStutteredWords,No-Stutter
 I felt badly about it.,WordRep,Stutter
 it's like you know,Interjection,Stutter
" making a real, a real foolish.",WordRep,Stutter
 choice would be just for only card millions,SoundRep,Stutter
 I probably will be compensated.,WordRep,Stutter
 what did,NoStutteredWords,No-Stutter
 and filmmaking.,WordRep,Stutter
 evening.,Prolongation,Stutter
 a reputation.,Prolongation,Stutter
 in this area.,SoundRep,Stutter
 downloadable on iTunes.,NoStutteredWords,No-Stutter
 today I'm excited and,NoStutteredWords,No-Stutter
 and in a way I found it sort of,WordRep,Stutter
" , ,",SoundRep,Stutter
,SoundRep,Stutter
" and it's a kind of an iceberg, really.",Block,Stutter
" So, like, I saw that.",Interjection,Stutter
" I'm not done with my stuttering, I wanted to talk better.",NoStutteredWords,No-Stutter
" Uh, uh, uh, uh?",WordRep,Stutter
 in this,Interjection,Stutter
 Put your film where you're going to be.,Prolongation,Stutter
" stations, the internet, the",Interjection,Stutter
 the stirring home page.,Interjection,Stutter
 the duty-custer runs.,Interjection,Stutter
 It was only then that,Block,Stutter
 think',NoStutteredWords,No-Stutter
 I'm going to talk.,NoStutteredWords,No-Stutter
 but um,Interjection,Stutter
 What I really want to know is like when you first,SoundRep,Stutter
" John, hey John, how's it going?",NoStutteredWords,No-Stutter
" It's going well, pal.",Block,Stutter
" You know, feel the deal?",Interjection,Stutter
" Absolutely. Yeah, absolutely.",WordRep,Stutter
 it was hard. I would say the worst.,WordRep,Stutter
 part of it was that,NoStutteredWords,No-Stutter
 I met them finally. I remember.,WordRep,Stutter
 one person saying,Interjection,Stutter
" You know, uh, um...",Interjection,Stutter
 way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way way,SoundRep,Stutter
 Do you love them looking definitely?,NoStutteredWords,No-Stutter
 you know like like what is,WordRep,Stutter
 So if you stutter.,SoundRep,Stutter
 it's sort of,Block,Stutter
 It confuses them because,SoundRep,Stutter
 as a studyer shows up.,WordRep,Stutter
 And we rock the world.,Interjection,Stutter
 more more more than,WordRep,Stutter
 you know,Interjection,Stutter
 I try to make it.,WordRep,Stutter
 Hugoですrosoft,SoundRep,Stutter
" I live in Winnipeg, Natal Bacanada.",NoStutteredWords,No-Stutter
 which is,Interjection,Stutter
,Prolongation,Stutter
 My first job,Block,Stutter
 that I had was,SoundRep,Stutter
 entry was a baby squid that you're doing.,DifficultToUnderstand,Stutter
 recreational things with the people.,SoundRep,Stutter
 and I had a good morning.,WordRep,Stutter
 and in the earth.,Interjection,Stutter
 to the ES staff cafeteria.,Interjection,Stutter
 and I,Interjection,Stutter
 You can hate here.,Block,Stutter
 go back to your ward.,NoStutteredWords,No-Stutter
 great,SoundRep,Stutter
" business apologize, 2018 15thdig contracts by Musiker웅dance a",SoundRep,Stutter
 The world has made,Block,Stutter
 Strides in in in in in,WordRep,Stutter
" better understanding, stutter",NoStutteredWords,No-Stutter
 same thing but I think it's changing.,NoStutteredWords,No-Stutter
 ї哎 whereas slowly upgraded,Prolongation,Stutter
 I have been on the pension.,WordRep,Stutter
 all my life in a country.,WordRep,Stutter
 That's what the media has to say.,SoundRep,Stutter
 passageuren hier.,SoundRep,Stutter
" So, sir, certainly,",SoundRep,Stutter
 of the king accepting the King's,Interjection,Stutter
 helped.,Interjection,Stutter
 somewhat.,Interjection,Stutter
 have you know multi-channel.,Interjection,Stutter
,SoundRep,Stutter
 with absolute isolation.,SoundRep,Stutter
 is.,SoundRep,Stutter
 I tell all the world.,WordRep,Stutter
 on film or whatever that I,Block,Stutter
 I started and most people really,NoStutteredWords,No-Stutter
 didn't care.,NoStutteredWords,No-Stutter
 I interviewed,Prolongation,Stutter
" it's not a referendum,",WordRep,Stutter
 at the end.,WordRep,Stutter
 that,WordRep,Stutter
 you know.,Prolongation,Stutter
 a long time many of the many years.,Block,Stutter
 that that sounds or that….,WordRep,Stutter
 should get over it too.,NoStutteredWords,No-Stutter
" because stuttering is, you know,",Block,Stutter
 outside world should get over it.,NoStutteredWords,No-Stutter
 How did you find it?,NoStutteredWords,No-Stutter
 all these peep,SoundRep,Stutter
" you just kind of, you know.",Interjection,Stutter
 really,Interjection,Stutter
 I went to,Interjection,Stutter
 to a,Interjection,Stutter
 I'm the people that I bet.,SoundRep,Stutter
 in,WordRep,Stutter
 contact with the bridge and,WordRep,Stutter
,Interjection,Stutter
 halalahhh,NoStutteredWords,No-Stutter
" That's right, we've started.",Block,Stutter
 Why did you choose the name?,Interjection,Stutter
 I'm speakable. Yeah.,NoStutteredWords,No-Stutter
" Drew, Drew, you went to that field.",WordRep,Stutter
" Well, I was gonna go to the",Interjection,Stutter
" Put the elephant, the pink elephant.",NoStutteredWords,No-Stutter
 biodies biomedical from,Prolongation,Stutter
 Did you still believe that?,NoStutteredWords,No-Stutter
" No, no, no, absolutely.",WordRep,Stutter
 a huge change.,Interjection,Stutter
 And what did you learn about?,Interjection,Stutter
 being able to overcome my much-studowing.,WordRep,Stutter
 was a deficiency.,Prolongation,Stutter
" Thank you. You were a stop, Stuttery.",WordRep,Stutter
 That kind of stuff.,NoStutteredWords,No-Stutter
" you know, like will you know, the G-Wiz?",Block,Stutter
,Interjection,Stutter
 of people who are stuttering into,NoStutteredWords,No-Stutter
 who Senior and.,Interjection,Stutter
 None kind of being so,SoundRep,Stutter
 It's just the way it is though.,NoStutteredWords,No-Stutter
 What if Iacağ your API?,WordRep,Stutter
 and you know,Prolongation,Stutter
 about it but as far as wanting to.,WordRep,Stutter
 Eliminate it to the death of the dead.,SoundRep,Stutter
 graduate school potentially,Interjection,Stutter
 part of yourself as,Block,Stutter
" John looks better, right? Yep.",Block,Stutter
 Why? Why should I be?,WordRep,Stutter
 So why should I,WordRep,Stutter
 because you know,Interjection,Stutter
 I want to job.,WordRep,Stutter
 the person who tries to,SoundRep,Stutter
